# DPDAK 1.5.0
# Date: 2025-10-26 23:6:4
# 1 Inputs (1): jg_4nm_au_bs_00001.cbf 
x-Axis_1	Intensity_1	
-1.080392E-01	6.215000E+01	
-1.076362E-01	6.470000E+01	
-1.072332E-01	6.900000E+01	
-1.068301E-01	6.735000E+01	
-1.064271E-01	6.725000E+01	
-1.060241E-01	7.810000E+01	
-1.056210E-01	7.400000E+01	
-1.052180E-01	7.480000E+01	
-1.048149E-01	7.907500E+01	
-1.044119E-01	8.250000E+01	
-1.040089E-01	8.492500E+01	
-1.036058E-01	8.047500E+01	
-1.032028E-01	8.965000E+01	
-1.027997E-01	8.752500E+01	
-1.023967E-01	8.647500E+01	
-1.019936E-01	8.830000E+01	
-1.015906E-01	9.097500E+01	
-1.011875E-01	9.590000E+01	
-1.007845E-01	9.682500E+01	
-1.003814E-01	9.625000E+01	
-9.997837E-02	1.021000E+02	
-9.957531E-02	9.850000E+01	
-9.917225E-02	1.054750E+02	
-9.876920E-02	1.095000E+02	
-9.836614E-02	1.109750E+02	
-9.796308E-02	1.032250E+02	
-9.756002E-02	1.098500E+02	
-9.715696E-02	1.071250E+02	
-9.675390E-02	1.123000E+02	
-9.635084E-02	1.130750E+02	
-9.594777E-02	1.225500E+02	
-9.554471E-02	1.174750E+02	
-9.514164E-02	1.172500E+02	
-9.473858E-02	1.104750E+02	
-9.433551E-02	1.171750E+02	
-9.393244E-02	1.150750E+02	
-9.352937E-02	1.121250E+02	
-9.312630E-02	1.130500E+02	
-9.272323E-02	1.134250E+02	
-9.232016E-02	1.176000E+02	
-9.191708E-02	1.116750E+02	
-9.151401E-02	1.095250E+02	
-9.111094E-02	1.145250E+02	
-9.070786E-02	1.097000E+02	
-9.030478E-02	1.096000E+02	
-8.990171E-02	1.111250E+02	
-8.949863E-02	1.076500E+02	
-8.909555E-02	1.143000E+02	
-8.869247E-02	1.137000E+02	
-8.828939E-02	1.075750E+02	
-8.788630E-02	1.104750E+02	
-8.748322E-02	1.022000E+02	
-8.708014E-02	1.101750E+02	
-8.667705E-02	1.078000E+02	
-8.627397E-02	1.101250E+02	
-8.587088E-02	1.061000E+02	
-8.546779E-02	1.008000E+02	
-8.506470E-02	9.130000E+01	
-8.466161E-02	1.088750E+02	
-8.425852E-02	9.825000E+01	
-8.385543E-02	1.017750E+02	
-8.345234E-02	1.020250E+02	
-8.304925E-02	9.800000E+01	
-8.264616E-02	9.530000E+01	
-8.224306E-02	9.892500E+01	
-8.183997E-02	9.397500E+01	
-8.143687E-02	9.635000E+01	
-8.103377E-02	9.815000E+01	
